title,rating,sold,price,price_display
"Lenovo Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS, Abyss Blue",4.3,,53664.0,"$53,664.00"
"Coolby Laptop Computer, 15.6 inch Laptop with 1080P FHD IPS Display, 16GB RAM/512GB SSD, 6500Y Processor Notebook PC, Support 2.4G/5G Hz WiFi, BT",4.0,,69595.5,"$69,595.50"
"acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",4.6,500+ bought in past month,265522.2,"$265,522.20"
"Dell 16 DC16251 Touchscreen Laptop, Intel Core 7 Processor 150U(up to 5.4 GHz), 16"" FHD+ 300 Nits Display, 32 GB DDR5, 1 TB SSD, Backlit Keyboard, Fingerprint Reader, Copilot AI, Windows 11 Pro",5.0,,278658.7,"$278,658.70"
"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",4.5,500+ bought in past month,,
"Lenovo IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS",4.4,300+ bought in past month,47487.05,"$47,487.05"
"LG gram Pro 17-inch Lightweight Laptop Computer, Intel Evo Edition Powered by Intel Core Ultra7 255H Processor, NVIDIA RTX5050, Windows 11 Home, 32GB RAM, 2TB SSD, Black",4.6,,558997.2,"$558,997.20"
"Dell Touchscreen Laptop Computer, Intel 10-Core i5-1334U(Beat Ryzen 7 7730U), 32GB RAM 1TB SSD, Win 11 Pro WiFi6 Long Battery Life Bluetooth, 15.6"" Laptops for Gaming Business w/GM Accessory",5.0,50+ bought in past month,,
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",4.8,#1 Top Rated,,
"Lenovo LOQ Essential – AI-Powered Student Gaming Laptop - Intel® Core™i5-12450HX - 15.6"" FHD IPS Display – 144Hz Refresh Rate – NVIDIA® GeForce RTX™ 4050 – 8GB Memory – 512GB SSD Storage – Luna Grey",3.9,100+ bought in past month,181672.2,"$181,672.20"
"Samsung 15.6” Galaxy Book5 360 Copilot AI Laptop PC Computer, FHD AMOLED Touchscreen, 16GB / 512GB, Dolby Atmos Quad Speakers, All-Day Battery Life, NP750QHA-KA1US",4.4,,332342.27,"$332,342.27"
"ASUS V16 Gaming Laptop, 16” WUXGA 144Hz Display, Intel Core 7 Processor 240H, NVIDIA GeForce RTX 5060, 16GB Memory, 512GB Storage, Windows 11, Matte Black, V3607VM-ES74",4.0,50+ bought in past month,307447.2,"$307,447.20"
